# Time(sec) X(nm) Y(nm) Z(nm) Bead-ID
1.749060921138112307e+09 9.918670929882433484e+03 9.956332639064770774e+03 5.219178963491790637e+04 0.000000000000000000e+00
1.749060921138112307e+09 1.066026547469404068e+04 1.073557052899650444e+04 5.137217649264630018e+04 1.000000000000000000e+00
1.749060921138112307e+09 9.973360237410062837e+03 1.002478121214175189e+04 5.217822968207520898e+04 2.000000000000000000e+00
1.749060921194321871e+09 9.919752305897180122e+03 9.957245081979144743e+03 5.219370962499113375e+04 0.000000000000000000e+00
1.749060921194321871e+09 1.045470359004499005e+04 1.068432833322304759e+04 5.133672915978663514e+04 1.000000000000000000e+00
1.749060921194321871e+09 9.989802199219422619e+03 1.006062422803374284e+04 5.217528534761776973e+04 2.000000000000000000e+00
1.749060921250531197e+09 9.920161868911116471e+03 9.957203570359999503e+03 5.219637782453264663e+04 0.000000000000000000e+00
1.749060921250531197e+09 1.042840980039316128e+04 1.068947635309645193e+04 5.131603855726901384e+04 1.000000000000000000e+00
1.749060921250531197e+09 9.988892120273525506e+03 1.007029614615493665e+04 5.217811806301048637e+04 2.000000000000000000e+00
1.749060921306740761e+09 9.916354181064598379e+03 9.955786471150127909e+03 5.219797939497763582e+04 0.000000000000000000e+00
1.749060921306740761e+09 1.042183461069939767e+04 1.072469916974622720e+04 5.140196669036371895e+04 1.000000000000000000e+00
1.749060921306740761e+09 9.998150860352667223e+03 1.004840521119002915e+04 5.217769191775138461e+04 2.000000000000000000e+00
1.749060921362950325e+09 9.915812314960614458e+03 9.957080898408974463e+03 5.219517340209787653e+04 0.000000000000000000e+00
1.749060921362950325e+09 1.052850562194081067e+04 1.073377705455187242e+04 5.131557444019178365e+04 1.000000000000000000e+00
1.749060921362950325e+09 9.972565404901330112e+03 1.003816904553462882e+04 5.218111126182912267e+04 2.000000000000000000e+00
1.749060921419159889e+09 9.919371788421512974e+03 9.955050028492172714e+03 5.219378192048084748e+04 0.000000000000000000e+00
1.749060921419159889e+09 1.063982075756182712e+04 1.068928312278195153e+04 5.126716296673050965e+04 1.000000000000000000e+00
1.749060921419159889e+09 9.982387557430029119e+03 1.004079403167587407e+04 5.217908001768802205e+04 2.000000000000000000e+00
1.749060921475369215e+09 9.916923166619499170e+03 9.954315786501978437e+03 5.219574043393336615e+04 0.000000000000000000e+00
1.749060921475369215e+09 1.059623170688710888e+04 1.051947818490254576e+04 5.128803076491224783e+04 1.000000000000000000e+00
1.749060921475369215e+09 9.968197991189244931e+03 1.006708536096486205e+04 5.218287046112780081e+04 2.000000000000000000e+00
1.749060921531578779e+09 9.918130890096177609e+03 9.955365803425072954e+03 5.219094805364516651e+04 0.000000000000000000e+00
1.749060921531578779e+09 1.070116975019382335e+04 1.058782765852827833e+04 5.122372324785451201e+04 1.000000000000000000e+00
1.749060921531578779e+09 9.950323897188016417e+03 1.003334310388042832e+04 5.218298768571930123e+04 2.000000000000000000e+00
1.749060921587788343e+09 9.917839494904723324e+03 9.954222086288042192e+03 5.219255231252030353e+04 0.000000000000000000e+00
1.749060921587788343e+09 1.046586746940108424e+04 1.060590278145003867e+04 5.116232831860714214e+04 1.000000000000000000e+00
1.749060921587788343e+09 9.973306012023891526e+03 1.003279621486675569e+04 5.217949028423339769e+04 2.000000000000000000e+00
1.749060921643997908e+09 9.916584186710313588e+03 9.950744960360849291e+03 5.219180843381355953e+04 0.000000000000000000e+00
1.749060921643997908e+09 1.061692340051953397e+04 1.073099105773585325e+04 5.128851056826966669e+04 1.000000000000000000e+00
1.749060921643997908e+09 9.939907680596124919e+03 9.998671933575331423e+03 5.218465484435079998e+04 2.000000000000000000e+00
1.749060921700207472e+09 9.915596814977396207e+03 9.951969681115091589e+03 5.219209512505454040e+04 0.000000000000000000e+00
1.749060921700207472e+09 1.032509073952316066e+04 1.067503579128636557e+04 5.131694373051814910e+04 1.000000000000000000e+00
1.749060921700207472e+09 9.967598069435111029e+03 1.005850257160097863e+04 5.217734133199283679e+04 2.000000000000000000e+00
1.749060921756416798e+09 9.918697038693162540e+03 9.954830586866053636e+03 5.218976300421796623e+04 0.000000000000000000e+00
1.749060921756416798e+09 1.017199505824468361e+04 1.063725251381997077e+04 5.133847869208140037e+04 1.000000000000000000e+00
1.749060921756416798e+09 9.992749626104778145e+03 1.005174136651888875e+04 5.217438830509789841e+04 2.000000000000000000e+00
1.749060921812626362e+09 9.913627529339748435e+03 9.953628716767125297e+03 5.219098067794551753e+04 0.000000000000000000e+00
1.749060921812626362e+09 1.027979470181509350e+04 1.063561847397353267e+04 5.126545407627685199e+04 1.000000000000000000e+00
1.749060921812626362e+09 9.925038175604342541e+03 1.000038797601048464e+04 5.218538780590950773e+04 2.000000000000000000e+00
1.749060921868835926e+09 9.914561239144148203e+03 9.952922181896925395e+03 5.219242433215583151e+04 0.000000000000000000e+00
1.749060921868835926e+09 1.043247120305406497e+04 1.058997538591410921e+04 5.140805784252285957e+04 1.000000000000000000e+00
1.749060921868835926e+09 9.977706830862880452e+03 1.004781392705459803e+04 5.217654338056247798e+04 2.000000000000000000e+00
1.749060921925045490e+09 9.916364438717433586e+03 9.956490739253747961e+03 5.219135648596419196e+04 0.000000000000000000e+00
1.749060921925045490e+09 1.054719643827079562e+04 1.052659422229587835e+04 5.142942910170646064e+04 1.000000000000000000e+00
1.749060921925045490e+09 9.978988504209546591e+03 1.006746629554017272e+04 5.217701311552698462e+04 2.000000000000000000e+00
1.749060921981254816e+09 9.910155279153159427e+03 9.953686618505171282e+03 5.219367264934365085e+04 0.000000000000000000e+00
1.749060921981254816e+09 1.045014210016178913e+04 1.062329422918702403e+04 5.136580163840581372e+04 1.000000000000000000e+00
1.749060921981254816e+09 9.989094072972895447e+03 1.003986330755282506e+04 5.217525510937858780e+04 2.000000000000000000e+00
1.749060922037464380e+09 9.912293682270948921e+03 9.955234652959610685e+03 5.219228896802729287e+04 0.000000000000000000e+00
1.749060922037464380e+09 1.039351225695489120e+04 1.073080104030591792e+04 5.133201085809147480e+04 1.000000000000000000e+00
1.749060922037464380e+09 9.977910632991775856e+03 1.004598382985997705e+04 5.217608758737733297e+04 2.000000000000000000e+00
1.749060922093673944e+09 9.916928102745358046e+03 9.951980105102915331e+03 5.219102161219253321e+04 0.000000000000000000e+00
1.749060922093673944e+09 1.044007057719576187e+04 1.081846404208350941e+04 5.129766320971897949e+04 1.000000000000000000e+00
1.749060922093673944e+09 9.969821082718919570e+03 1.006208891069890160e+04 5.217896150037492771e+04 2.000000000000000000e+00
